ingredient_name,role,state_name,sequence,activity_type,instruction,minutes,human_busy,attention_load,equipment_name,stage,parallel_ok,depends_on_sequence,verified
Turkey breast,protein,Fresh Raw,2,cook,Cook Turkey breast in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Turkey breast,protein,Fresh Raw,3,rest,Rest Turkey breast before slicing or serving.,5,0,0,counter,finish,1,2,1
Turkey breast,protein,Frozen Raw,1,prep,Prep Turkey breast: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Turkey breast,protein,Frozen Raw,2,cook,Begin cooking Turkey breast in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Turkey breast,protein,Frozen Raw,3,wait,Continue cooking Turkey breast without constant attention.,12,0,0,burner,middle,1,2,1
Turkey breast,protein,Frozen Raw,4,verify,Verify Turkey breast until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Turkey breast,protein,Frozen Raw,5,rest,Rest Turkey breast before slicing or serving.,5,0,0,counter,finish,1,4,1
Turkey breast,protein,Cooked,1,prep,"Prep Turkey breast: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Turkey breast,protein,Cooked,2,reheat,Reheat Turkey breast gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Turkey sausage,protein,Fresh Raw,1,prep,"Prep Turkey sausage: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Turkey sausage,protein,Fresh Raw,2,cook,Cook Turkey sausage in a skillet until the thickest part reaches 165°F.,12,1,0.5,burner,middle,0,1,1
Turkey sausage,protein,Fresh Raw,3,rest,Rest Turkey sausage before slicing or serving.,5,0,0,counter,finish,1,2,1
Turkey sausage,protein,Frozen Raw,1,prep,Prep Turkey sausage: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Turkey sausage,protein,Frozen Raw,2,cook,Begin cooking Turkey sausage in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Turkey sausage,protein,Frozen Raw,3,wait,Continue cooking Turkey sausage without constant attention.,12,0,0,burner,middle,1,2,1
Turkey sausage,protein,Frozen Raw,4,verify,Verify Turkey sausage until the thickest part reaches 165°F.,2,1,1,counter,finish,0,3,1
Turkey sausage,protein,Frozen Raw,5,rest,Rest Turkey sausage before slicing or serving.,5,0,0,counter,finish,1,4,1
Turkey sausage,protein,Cooked,1,prep,"Prep Turkey sausage: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Turkey sausage,protein,Cooked,2,reheat,Reheat Turkey sausage gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Pork loin,protein,Fresh Raw,1,prep,"Prep Pork loin: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Pork loin,protein,Fresh Raw,2,cook,Cook Pork loin in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Pork loin,protein,Fresh Raw,3,rest,Rest Pork loin before slicing or serving.,5,0,0,counter,finish,1,2,1
Pork loin,protein,Frozen Raw,1,prep,Prep Pork loin: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Pork loin,protein,Frozen Raw,2,cook,Begin cooking Pork loin in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Pork loin,protein,Frozen Raw,3,wait,Continue cooking Pork loin without constant attention.,12,0,0,burner,middle,1,2,1
Pork loin,protein,Frozen Raw,4,verify,Verify Pork loin until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Pork loin,protein,Frozen Raw,5,rest,Rest Pork loin before slicing or serving.,5,0,0,counter,finish,1,4,1
Pork loin,protein,Cooked,1,prep,"Prep Pork loin: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Pork loin,protein,Cooked,2,reheat,Reheat Pork loin gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Pork shoulder,protein,Fresh Raw,1,prep,"Prep Pork shoulder: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Pork shoulder,protein,Fresh Raw,2,cook,Cook Pork shoulder in a covered pot until the thickest part reaches 205°F.,20,1,0.5,burner,middle,0,1,1
Pork shoulder,protein,Fresh Raw,3,rest,Rest Pork shoulder before slicing or serving.,5,0,0,counter,finish,1,2,1
Pork shoulder,protein,Frozen Raw,1,prep,Prep Pork shoulder: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Pork shoulder,protein,Frozen Raw,2,cook,Begin cooking Pork shoulder in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Pork shoulder,protein,Frozen Raw,3,wait,Continue cooking Pork shoulder without constant attention.,20,0,0,burner,middle,1,2,1
Pork shoulder,protein,Frozen Raw,4,verify,Verify Pork shoulder until the thickest part reaches 205°F.,2,1,1,counter,finish,0,3,1
Pork shoulder,protein,Frozen Raw,5,rest,Rest Pork shoulder before slicing or serving.,5,0,0,counter,finish,1,4,1
Pork shoulder,protein,Cooked,1,prep,"Prep Pork shoulder: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Pork shoulder,protein,Cooked,2,reheat,Reheat Pork shoulder gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Pork chops,protein,Fresh Raw,1,prep,"Prep Pork chops: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Pork chops,protein,Fresh Raw,2,cook,Cook Pork chops in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Pork chops,protein,Fresh Raw,3,rest,Rest Pork chops before slicing or serving.,5,0,0,counter,finish,1,2,1
Pork chops,protein,Frozen Raw,1,prep,Prep Pork chops: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Pork chops,protein,Frozen Raw,2,cook,Begin cooking Pork chops in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Pork chops,protein,Frozen Raw,3,wait,Continue cooking Pork chops without constant attention.,12,0,0,burner,middle,1,2,1
Pork chops,protein,Frozen Raw,4,verify,Verify Pork chops until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Pork chops,protein,Frozen Raw,5,rest,Rest Pork chops before slicing or serving.,5,0,0,counter,finish,1,4,1
Pork chops,protein,Cooked,1,prep,"Prep Pork chops: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Pork chops,protein,Cooked,2,reheat,Reheat Pork chops gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Ham,protein,,1,prep,"Prep Ham: drain, shred, slice, or portion it as needed.",2,1,1,counter,late,1,,1
Ham,protein,,2,warm,Warm Ham gently in a skillet or saucepan only until hot.,8,1,0.4,burner,late,1,1,1
Bacon,protein,Fresh Raw,1,prep,"Prep Bacon: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Bacon,protein,Fresh Raw,2,cook,Cook Bacon in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Bacon,protein,Fresh Raw,3,rest,Rest Bacon before slicing or serving.,5,0,0,counter,finish,1,2,1
Bacon,protein,Frozen Raw,1,prep,Prep Bacon: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Bacon,protein,Frozen Raw,2,cook,Begin cooking Bacon in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Bacon,protein,Frozen Raw,3,wait,Continue cooking Bacon without constant attention.,12,0,0,burner,middle,1,2,1
Bacon,protein,Frozen Raw,4,verify,Verify Bacon until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Bacon,protein,Frozen Raw,5,rest,Rest Bacon before slicing or serving.,5,0,0,counter,finish,1,4,1
Bacon,protein,Cooked,1,prep,"Prep Bacon: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Bacon,protein,Cooked,2,reheat,Reheat Bacon gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Breakfast sausage,protein,Fresh Raw,1,prep,"Prep Breakfast sausage: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Breakfast sausage,protein,Fresh Raw,2,cook,Cook Breakfast sausage in a skillet until the thickest part reaches 160°F.,12,1,0.5,burner,middle,0,1,1
Breakfast sausage,protein,Fresh Raw,3,rest,Rest Breakfast sausage before slicing or serving.,5,0,0,counter,finish,1,2,1
Breakfast sausage,protein,Frozen Raw,1,prep,Prep Breakfast sausage: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Breakfast sausage,protein,Frozen Raw,2,cook,Begin cooking Breakfast sausage in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Breakfast sausage,protein,Frozen Raw,3,wait,Continue cooking Breakfast sausage without constant attention.,12,0,0,burner,middle,1,2,1
Breakfast sausage,protein,Frozen Raw,4,verify,Verify Breakfast sausage until the thickest part reaches 160°F.,2,1,1,counter,finish,0,3,1
Breakfast sausage,protein,Frozen Raw,5,rest,Rest Breakfast sausage before slicing or serving.,5,0,0,counter,finish,1,4,1
Breakfast sausage,protein,Cooked,1,prep,"Prep Breakfast sausage: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Breakfast sausage,protein,Cooked,2,reheat,Reheat Breakfast sausage gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Italian sausage,protein,Fresh Raw,1,prep,"Prep Italian sausage: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Italian sausage,protein,Fresh Raw,2,cook,Cook Italian sausage in a skillet until the thickest part reaches 160°F.,12,1,0.5,burner,middle,0,1,1
Italian sausage,protein,Fresh Raw,3,rest,Rest Italian sausage before slicing or serving.,5,0,0,counter,finish,1,2,1
Italian sausage,protein,Frozen Raw,1,prep,Prep Italian sausage: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Italian sausage,protein,Frozen Raw,2,cook,Begin cooking Italian sausage in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Italian sausage,protein,Frozen Raw,3,wait,Continue cooking Italian sausage without constant attention.,12,0,0,burner,middle,1,2,1
Italian sausage,protein,Frozen Raw,4,verify,Verify Italian sausage until the thickest part reaches 160°F.,2,1,1,counter,finish,0,3,1
Italian sausage,protein,Frozen Raw,5,rest,Rest Italian sausage before slicing or serving.,5,0,0,counter,finish,1,4,1
Italian sausage,protein,Cooked,1,prep,"Prep Italian sausage: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Italian sausage,protein,Cooked,2,reheat,Reheat Italian sausage gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Kielbasa,protein,,1,prep,"Prep Kielbasa: drain, shred, slice, or portion it as needed.",2,1,1,counter,late,1,,1
Kielbasa,protein,,2,warm,Warm Kielbasa gently in a skillet or saucepan only until hot.,8,1,0.4,burner,late,1,1,1
Shrimp,protein,Fresh Raw,1,prep,"Prep Shrimp: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Shrimp,protein,Fresh Raw,2,cook,Cook Shrimp in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Shrimp,protein,Fresh Raw,3,rest,Rest Shrimp before slicing or serving.,5,0,0,counter,finish,1,2,1
Shrimp,protein,Frozen Raw,1,prep,Prep Shrimp: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Shrimp,protein,Frozen Raw,2,cook,Begin cooking Shrimp in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Shrimp,protein,Frozen Raw,3,wait,Continue cooking Shrimp without constant attention.,12,0,0,burner,middle,1,2,1
Shrimp,protein,Frozen Raw,4,verify,Verify Shrimp until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Shrimp,protein,Frozen Raw,5,rest,Rest Shrimp before slicing or serving.,5,0,0,counter,finish,1,4,1
Shrimp,protein,Cooked,1,prep,"Prep Shrimp: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Shrimp,protein,Cooked,2,reheat,Reheat Shrimp gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Cod,protein,Fresh Raw,1,prep,"Prep Cod: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Cod,protein,Fresh Raw,2,cook,Cook Cod in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Cod,protein,Fresh Raw,3,rest,Rest Cod before slicing or serving.,5,0,0,counter,finish,1,2,1
Cod,protein,Frozen Raw,1,prep,Prep Cod: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Cod,protein,Frozen Raw,2,cook,Begin cooking Cod in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Cod,protein,Frozen Raw,3,wait,Continue cooking Cod without constant attention.,12,0,0,burner,middle,1,2,1
Cod,protein,Frozen Raw,4,verify,Verify Cod until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Cod,protein,Frozen Raw,5,rest,Rest Cod before slicing or serving.,5,0,0,counter,finish,1,4,1
Cod,protein,Cooked,1,prep,"Prep Cod: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Cod,protein,Cooked,2,reheat,Reheat Cod gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Tilapia,protein,Fresh Raw,1,prep,"Prep Tilapia: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Tilapia,protein,Fresh Raw,2,cook,Cook Tilapia in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Tilapia,protein,Fresh Raw,3,rest,Rest Tilapia before slicing or serving.,5,0,0,counter,finish,1,2,1
Tilapia,protein,Frozen Raw,1,prep,Prep Tilapia: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Tilapia,protein,Frozen Raw,2,cook,Begin cooking Tilapia in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Tilapia,protein,Frozen Raw,3,wait,Continue cooking Tilapia without constant attention.,12,0,0,burner,middle,1,2,1
Tilapia,protein,Frozen Raw,4,verify,Verify Tilapia until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Tilapia,protein,Frozen Raw,5,rest,Rest Tilapia before slicing or serving.,5,0,0,counter,finish,1,4,1
Tilapia,protein,Cooked,1,prep,"Prep Tilapia: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Tilapia,protein,Cooked,2,reheat,Reheat Tilapia gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Salmon,protein,Fresh Raw,1,prep,"Prep Salmon: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Salmon,protein,Fresh Raw,2,cook,Cook Salmon in a skillet until the thickest part reaches 145°F.,12,1,0.5,burner,middle,0,1,1
Salmon,protein,Fresh Raw,3,rest,Rest Salmon before slicing or serving.,5,0,0,counter,finish,1,2,1
Salmon,protein,Frozen Raw,1,prep,Prep Salmon: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Salmon,protein,Frozen Raw,2,cook,Begin cooking Salmon in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Salmon,protein,Frozen Raw,3,wait,Continue cooking Salmon without constant attention.,12,0,0,burner,middle,1,2,1
Salmon,protein,Frozen Raw,4,verify,Verify Salmon until the thickest part reaches 145°F.,2,1,1,counter,finish,0,3,1
Salmon,protein,Frozen Raw,5,rest,Rest Salmon before slicing or serving.,5,0,0,counter,finish,1,4,1
Salmon,protein,Cooked,1,prep,"Prep Salmon: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Salmon,protein,Cooked,2,reheat,Reheat Salmon gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Canned tuna,protein,,1,prep,"Prep Canned tuna: drain, shred, slice, or portion it as needed.",2,1,1,counter,late,1,,1
Canned tuna,protein,,2,warm,Warm Canned tuna gently in a skillet or saucepan only until hot.,8,1,0.4,burner,late,1,1,1
Eggs,protein,Fresh Raw,1,prep,"Prep Eggs: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Eggs,protein,Fresh Raw,2,cook,Cook Eggs in a skillet until the thickest part reaches 160°F.,12,1,0.5,burner,middle,0,1,1
Eggs,protein,Fresh Raw,3,rest,Rest Eggs before slicing or serving.,5,0,0,counter,finish,1,2,1
Eggs,protein,Frozen Raw,1,prep,Prep Eggs: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Eggs,protein,Frozen Raw,2,cook,Begin cooking Eggs in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Eggs,protein,Frozen Raw,3,wait,Continue cooking Eggs without constant attention.,12,0,0,burner,middle,1,2,1
Eggs,protein,Frozen Raw,4,verify,Verify Eggs until the thickest part reaches 160°F.,2,1,1,counter,finish,0,3,1
Eggs,protein,Frozen Raw,5,rest,Rest Eggs before slicing or serving.,5,0,0,counter,finish,1,4,1
Eggs,protein,Cooked,1,prep,"Prep Eggs: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Eggs,protein,Cooked,2,reheat,Reheat Eggs gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Tofu,protein,Fresh Raw,1,prep,"Prep Tofu: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Tofu,protein,Fresh Raw,2,cook,Cook Tofu in a skillet until safely cooked.,12,1,0.5,burner,middle,0,1,1
Tofu,protein,Fresh Raw,3,rest,Rest Tofu before slicing or serving.,5,0,0,counter,finish,1,2,1
Tofu,protein,Frozen Raw,1,prep,Prep Tofu: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Tofu,protein,Frozen Raw,2,cook,Begin cooking Tofu in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Tofu,protein,Frozen Raw,3,wait,Continue cooking Tofu without constant attention.,12,0,0,burner,middle,1,2,1
Tofu,protein,Frozen Raw,4,verify,Verify Tofu until safely cooked.,2,1,1,counter,finish,0,3,1
Tofu,protein,Frozen Raw,5,rest,Rest Tofu before slicing or serving.,5,0,0,counter,finish,1,4,1
Tofu,protein,Cooked,1,prep,"Prep Tofu: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Tofu,protein,Cooked,2,reheat,Reheat Tofu gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Tempeh,protein,Fresh Raw,1,prep,"Prep Tempeh: keep it separate from ready-to-eat food, pat dry, and season.",2,1,1,counter,middle,1,,1
Tempeh,protein,Fresh Raw,2,cook,Cook Tempeh in a skillet until safely cooked.,12,1,0.5,burner,middle,0,1,1
Tempeh,protein,Fresh Raw,3,rest,Rest Tempeh before slicing or serving.,5,0,0,counter,finish,1,2,1
Tempeh,protein,Frozen Raw,1,prep,Prep Tempeh: remove packaging and use a covered or moist method unless thawed first.,2,1,1,counter,early,1,,1
Tempeh,protein,Frozen Raw,2,cook,Begin cooking Tempeh in a covered skillet or pot.,10,1,0.5,burner,early,0,1,1
Tempeh,protein,Frozen Raw,3,wait,Continue cooking Tempeh without constant attention.,12,0,0,burner,middle,1,2,1
Tempeh,protein,Frozen Raw,4,verify,Verify Tempeh until safely cooked.,2,1,1,counter,finish,0,3,1
Tempeh,protein,Frozen Raw,5,rest,Rest Tempeh before slicing or serving.,5,0,0,counter,finish,1,4,1
Tempeh,protein,Cooked,1,prep,"Prep Tempeh: slice, shred, or portion it for reheating.",2,1,1,counter,late,1,,1
Tempeh,protein,Cooked,2,reheat,Reheat Tempeh gently in a skillet or saucepan until steaming hot.,5,1,0.5,burner,late,1,1,1
Onions,vegetable,,1,prep,"Prep Onions: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Onions,vegetable,,2,cook,Cook Onions in a skillet until tender without overcooking.,8,1,0.5,burner,late,0,1,1
Garlic,vegetable,,1,prep,"Prep Garlic: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Garlic,vegetable,,2,cook,Cook Garlic in a skillet until tender without overcooking.,2,1,0.5,burner,late,0,1,1
Carrots,vegetable,,1,prep,"Prep Carrots: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Carrots,vegetable,,2,cook,Cook Carrots in a covered pot until tender without overcooking.,15,1,0.5,burner,early,0,1,1
Celery,vegetable,,1,prep,"Prep Celery: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Celery,vegetable,,2,cook,Cook Celery in a skillet until tender without overcooking.,8,1,0.5,burner,late,0,1,1
Potatoes,vegetable,,1,prep,"Prep Potatoes: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Potatoes,vegetable,,2,cook,Cook Potatoes in a covered pot until tender without overcooking.,20,1,0.5,burner,early,0,1,1
Sweet potatoes,vegetable,,1,prep,"Prep Sweet potatoes: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Sweet potatoes,vegetable,,2,cook,Cook Sweet potatoes in a covered pot until tender without overcooking.,20,1,0.5,burner,early,0,1,1
Broccoli,vegetable,,1,prep,"Prep Broccoli: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Broccoli,vegetable,,2,cook,Cook Broccoli in a covered pot until tender without overcooking.,8,1,0.5,burner,early,0,1,1
Cauliflower,vegetable,,1,prep,"Prep Cauliflower: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Cauliflower,vegetable,,2,cook,Cook Cauliflower in a covered pot until tender without overcooking.,10,1,0.5,burner,early,0,1,1
Cabbage,vegetable,,1,prep,"Prep Cabbage: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,early,1,,1
Cabbage,vegetable,,2,cook,Cook Cabbage in a covered pot until tender without overcooking.,15,1,0.5,burner,early,0,1,1
Kale,vegetable,,1,prep,"Prep Kale: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Kale,vegetable,,2,cook,Cook Kale in a skillet until tender without overcooking.,10,1,0.5,burner,late,0,1,1
Spinach,vegetable,,1,prep,"Prep Spinach: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Spinach,vegetable,,2,cook,Cook Spinach in a skillet until tender without overcooking.,3,1,0.5,burner,late,0,1,1
Lettuce,vegetable,,1,prep,"Prep Lettuce: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Lettuce,vegetable,,2,assemble,Keep Lettuce crisp and add it at serving time.,1,1,0.2,counter,finish,1,1,1
Romaine lettuce,vegetable,,1,prep,"Prep Romaine lettuce: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Romaine lettuce,vegetable,,2,assemble,Keep Romaine lettuce crisp and add it at serving time.,1,1,0.2,counter,finish,1,1,1
Iceberg lettuce,vegetable,,1,prep,"Prep Iceberg lettuce: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Iceberg lettuce,vegetable,,2,assemble,Keep Iceberg lettuce crisp and add it at serving time.,1,1,0.2,counter,finish,1,1,1
Green beans,vegetable,,1,prep,"Prep Green beans: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Green beans,vegetable,,2,cook,Cook Green beans in a skillet until tender without overcooking.,8,1,0.5,burner,late,0,1,1
Peas,vegetable,,1,prep,"Prep Peas: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
Peas,vegetable,,2,cook,Cook Peas in a skillet until tender without overcooking.,5,1,0.5,burner,late,0,1,1
Corn,vegetable,,1,prep,"Prep Corn: wash, trim, drain, and cut it into even pieces as appropriate.",2,1,1,counter,middle,1,,1
