ingredient_name,state_name,storage_location,needs_cooking,ready_to_eat,typical_prep_minutes,typical_cook_minutes,active_minutes,passive_minutes,attention_score,energy_level,rank_penalty,holdability,handling_note,timing_note,cooking_note,verified,notes
Blue cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blue cheese as needed.,Add Blue cheese at the stage appropriate to its flavor and texture.,Use Blue cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Apples,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Apples as needed.,Add Apples at the stage appropriate to its flavor and texture.,Use Apples as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Bananas,Ready to Use,counter,0,1,1,0,1,0,1,very low,0,good,Measure or portion Bananas as needed.,Add Bananas at the stage appropriate to its flavor and texture.,Use Bananas as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Lemons,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Lemons as needed.,Add Lemons at the stage appropriate to its flavor and texture.,Use Lemons as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Limes,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Limes as needed.,Add Limes at the stage appropriate to its flavor and texture.,Use Limes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Oranges,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Oranges as needed.,Add Oranges at the stage appropriate to its flavor and texture.,Use Oranges as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Pineapple,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Pineapple as needed.,Add Pineapple at the stage appropriate to its flavor and texture.,Use Pineapple as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Peaches,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Peaches as needed.,Add Peaches at the stage appropriate to its flavor and texture.,Use Peaches as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Pears,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Pears as needed.,Add Pears at the stage appropriate to its flavor and texture.,Use Pears as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Strawberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Strawberries as needed.,Add Strawberries at the stage appropriate to its flavor and texture.,Use Strawberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Blueberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blueberries as needed.,Add Blueberries at the stage appropriate to its flavor and texture.,Use Blueberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Raspberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Raspberries as needed.,Add Raspberries at the stage appropriate to its flavor and texture.,Use Raspberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Blackberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blackberries as needed.,Add Blackberries at the stage appropriate to its flavor and texture.,Use Blackberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cranberries,Ready to Use,freezer,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cranberries as needed.,Add Cranberries at the stage appropriate to its flavor and texture.,Use Cranberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Grapes,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Grapes as needed.,Add Grapes at the stage appropriate to its flavor and texture.,Use Grapes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mango,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Mango as needed.,Add Mango at the stage appropriate to its flavor and texture.,Use Mango as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Papaya,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Papaya as needed.,Add Papaya at the stage appropriate to its flavor and texture.,Use Papaya as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Kiwi,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Kiwi as needed.,Add Kiwi at the stage appropriate to its flavor and texture.,Use Kiwi as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Avocado,Ready to Use,counter,0,1,1,0,1,0,1,very low,0,good,Measure or portion Avocado as needed.,Add Avocado at the stage appropriate to its flavor and texture.,Use Avocado as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Coconut,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Coconut as needed.,Add Coconut at the stage appropriate to its flavor and texture.,Use Coconut as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Raisins,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Raisins as needed.,Add Raisins at the stage appropriate to its flavor and texture.,Use Raisins as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
All-purpose flour,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion All-purpose flour as needed.,Add All-purpose flour at the stage appropriate to its flavor and texture.,Use All-purpose flour as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Sugar as needed.,Add Sugar at the stage appropriate to its flavor and texture.,Use Sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Brown sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Brown sugar as needed.,Add Brown sugar at the stage appropriate to its flavor and texture.,Use Brown sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Powdered sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Powdered sugar as needed.,Add Powdered sugar at the stage appropriate to its flavor and texture.,Use Powdered sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cornstarch,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cornstarch as needed.,Add Cornstarch at the stage appropriate to its flavor and texture.,Use Cornstarch as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Baking powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Baking powder as needed.,Add Baking powder at the stage appropriate to its flavor and texture.,Use Baking powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Baking soda,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Baking soda as needed.,Add Baking soda at the stage appropriate to its flavor and texture.,Use Baking soda as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Salt,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Salt as needed.,Add Salt at the stage appropriate to its flavor and texture.,Use Salt as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Black pepper,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Black pepper as needed.,Add Black pepper at the stage appropriate to its flavor and texture.,Use Black pepper as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Olive oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Olive oil as needed.,Add Olive oil at the stage appropriate to its flavor and texture.,Use Olive oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Vegetable oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Vegetable oil as needed.,Add Vegetable oil at the stage appropriate to its flavor and texture.,Use Vegetable oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Canola oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Canola oil as needed.,Add Canola oil at the stage appropriate to its flavor and texture.,Use Canola oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sesame oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Sesame oil as needed.,Add Sesame oil at the stage appropriate to its flavor and texture.,Use Sesame oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Apple cider vinegar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Apple cider vinegar as needed.,Add Apple cider vinegar at the stage appropriate to its flavor and texture.,Use Apple cider vinegar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
White vinegar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion White vinegar as needed.,Add White vinegar at the stage appropriate to its flavor and texture.,Use White vinegar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Balsamic vinegar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Balsamic vinegar as needed.,Add Balsamic vinegar at the stage appropriate to its flavor and texture.,Use Balsamic vinegar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Soy sauce,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Soy sauce as needed.,Add Soy sauce at the stage appropriate to its flavor and texture.,Use Soy sauce as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Worcestershire sauce,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Worcestershire sauce as needed.,Add Worcestershire sauce at the stage appropriate to its flavor and texture.,Use Worcestershire sauce as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Hot sauce,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Hot sauce as needed.,Add Hot sauce at the stage appropriate to its flavor and texture.,Use Hot sauce as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Ketchup,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Ketchup as needed.,Add Ketchup at the stage appropriate to its flavor and texture.,Use Ketchup as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mustard,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Mustard as needed.,Add Mustard at the stage appropriate to its flavor and texture.,Use Mustard as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mayonnaise,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Mayonnaise as needed.,Add Mayonnaise at the stage appropriate to its flavor and texture.,Use Mayonnaise as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
BBQ sauce,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion BBQ sauce as needed.,Add BBQ sauce at the stage appropriate to its flavor and texture.,Use BBQ sauce as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Chicken broth,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Chicken broth as needed.,Add Chicken broth at the stage appropriate to its flavor and texture.,Use Chicken broth as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Beef broth,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Beef broth as needed.,Add Beef broth at the stage appropriate to its flavor and texture.,Use Beef broth as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Vegetable broth,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Vegetable broth as needed.,Add Vegetable broth at the stage appropriate to its flavor and texture.,Use Vegetable broth as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Tomato sauce,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Tomato sauce as needed.,Add Tomato sauce at the stage appropriate to its flavor and texture.,Use Tomato sauce as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Tomato paste,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Tomato paste as needed.,Add Tomato paste at the stage appropriate to its flavor and texture.,Use Tomato paste as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Diced tomatoes,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Diced tomatoes as needed.,Add Diced tomatoes at the stage appropriate to its flavor and texture.,Use Diced tomatoes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Crushed tomatoes,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Crushed tomatoes as needed.,Add Crushed tomatoes at the stage appropriate to its flavor and texture.,Use Crushed tomatoes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Rotel,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Rotel as needed.,Add Rotel at the stage appropriate to its flavor and texture.,Use Rotel as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cream of mushroom soup,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cream of mushroom soup as needed.,Add Cream of mushroom soup at the stage appropriate to its flavor and texture.,Use Cream of mushroom soup as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cream of chicken soup,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cream of chicken soup as needed.,Add Cream of chicken soup at the stage appropriate to its flavor and texture.,Use Cream of chicken soup as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Coconut milk,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Coconut milk as needed.,Add Coconut milk at the stage appropriate to its flavor and texture.,Use Coconut milk as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Peanut butter,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Peanut butter as needed.,Add Peanut butter at the stage appropriate to its flavor and texture.,Use Peanut butter as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Honey,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Honey as needed.,Add Honey at the stage appropriate to its flavor and texture.,Use Honey as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Maple syrup,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Maple syrup as needed.,Add Maple syrup at the stage appropriate to its flavor and texture.,Use Maple syrup as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Molasses,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Molasses as needed.,Add Molasses at the stage appropriate to its flavor and texture.,Use Molasses as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Vanilla extract,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Vanilla extract as needed.,Add Vanilla extract at the stage appropriate to its flavor and texture.,Use Vanilla extract as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Yeast,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Yeast as needed.,Add Yeast at the stage appropriate to its flavor and texture.,Use Yeast as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Garlic powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Garlic powder as needed.,Add Garlic powder at the stage appropriate to its flavor and texture.,Use Garlic powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Onion powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Onion powder as needed.,Add Onion powder at the stage appropriate to its flavor and texture.,Use Onion powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Paprika,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Paprika as needed.,Add Paprika at the stage appropriate to its flavor and texture.,Use Paprika as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Smoked paprika,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Smoked paprika as needed.,Add Smoked paprika at the stage appropriate to its flavor and texture.,Use Smoked paprika as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cumin,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cumin as needed.,Add Cumin at the stage appropriate to its flavor and texture.,Use Cumin as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Chili powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Chili powder as needed.,Add Chili powder at the stage appropriate to its flavor and texture.,Use Chili powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cayenne pepper,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cayenne pepper as needed.,Add Cayenne pepper at the stage appropriate to its flavor and texture.,Use Cayenne pepper as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Oregano,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Oregano as needed.,Add Oregano at the stage appropriate to its flavor and texture.,Use Oregano as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Basil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Basil as needed.,Add Basil at the stage appropriate to its flavor and texture.,Use Basil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Thyme,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Thyme as needed.,Add Thyme at the stage appropriate to its flavor and texture.,Use Thyme as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Rosemary,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Rosemary as needed.,Add Rosemary at the stage appropriate to its flavor and texture.,Use Rosemary as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Parsley,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Parsley as needed.,Add Parsley at the stage appropriate to its flavor and texture.,Use Parsley as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Dill,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Dill as needed.,Add Dill at the stage appropriate to its flavor and texture.,Use Dill as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sage,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Sage as needed.,Add Sage at the stage appropriate to its flavor and texture.,Use Sage as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Turmeric,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Turmeric as needed.,Add Turmeric at the stage appropriate to its flavor and texture.,Use Turmeric as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Ginger,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Ginger as needed.,Add Ginger at the stage appropriate to its flavor and texture.,Use Ginger as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cinnamon,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cinnamon as needed.,Add Cinnamon at the stage appropriate to its flavor and texture.,Use Cinnamon as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Nutmeg,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Nutmeg as needed.,Add Nutmeg at the stage appropriate to its flavor and texture.,Use Nutmeg as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cloves,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cloves as needed.,Add Cloves at the stage appropriate to its flavor and texture.,Use Cloves as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Bay leaves,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Bay leaves as needed.,Add Bay leaves at the stage appropriate to its flavor and texture.,Use Bay leaves as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Italian seasoning,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Italian seasoning as needed.,Add Italian seasoning at the stage appropriate to its flavor and texture.,Use Italian seasoning as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Red pepper flakes,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Red pepper flakes as needed.,Add Red pepper flakes at the stage appropriate to its flavor and texture.,Use Red pepper flakes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Celery seed,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Celery seed as needed.,Add Celery seed at the stage appropriate to its flavor and texture.,Use Celery seed as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mustard powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Mustard powder as needed.,Add Mustard powder at the stage appropriate to its flavor and texture.,Use Mustard powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
White pepper,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion White pepper as needed.,Add White pepper at the stage appropriate to its flavor and texture.,Use White pepper as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Coriander,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Coriander as needed.,Add Coriander at the stage appropriate to its flavor and texture.,Use Coriander as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cilantro,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cilantro as needed.,Add Cilantro at the stage appropriate to its flavor and texture.,Use Cilantro as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Fresh parsley,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Fresh parsley as needed.,Add Fresh parsley at the stage appropriate to its flavor and texture.,Use Fresh parsley as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Fresh basil,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Fresh basil as needed.,Add Fresh basil at the stage appropriate to its flavor and texture.,Use Fresh basil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Fresh thyme,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Fresh thyme as needed.,Add Fresh thyme at the stage appropriate to its flavor and texture.,Use Fresh thyme as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
