name,form,storage_location,quantity,unit,quantity_band,origin,notes
All-purpose flour,Shelf-stable,Pantry,3,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Apple cider vinegar,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 7 regional sample pantries: Appalachia & Upper South; Great Lakes & Midwest; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest
Apples,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 5 regional sample pantries: Appalachia & Upper South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest
Asparagus,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Avocado,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Bacon,Cooked,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Appalachia & Upper South
Baked beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Great Plains
BBQ sauce,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Beef brisket,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Beef stew meat,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Mountain West
Beets,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Mountain West; Northeast & New England
Biscuits,Shelf-stable,Pantry,1,package,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Great Plains; Gulf Coast & Deep South
Black beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Black pepper,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Black-eyed peas,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Gulf Coast & Deep South; Mid-Atlantic
Blackberries,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Blueberries,Fresh,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Northeast & New England; Pacific Northwest
Bread,Shelf-stable,Pantry,1,package,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Breakfast sausage,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Great Plains
Broccoli,Fresh,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Brown rice,Dry,Pantry,2,lb,,sample_pantry_master,Union of 1 regional sample pantries: Mountain West
Brown sugar,Shelf-stable,Pantry,3,lb,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Brussels sprouts,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Butter,Refrigerated,Fridge,1,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Butter beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Gulf Coast & Deep South
Butternut squash,Fresh,Fresh,3,piece,,sample_pantry_master,Union of 2 regional sample pantries: Mountain West; Pacific Northwest
Cabbage,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 4 regional sample pantries: Great Lakes & Midwest; Great Plains; Mountain West; Northeast & New England
Canned tuna,Canned,Pantry,2,can,,sample_pantry_master,Union of 3 regional sample pantries: Great Lakes & Midwest; Northeast & New England; Pacific Northwest
Carrots,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Cayenne pepper,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South; Southwest
Celery,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Celery root,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Celery seed,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 1 regional sample pantries: Mid-Atlantic
Cheddar cheese,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Chicken breast,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Chicken broth,Shelf-stable,Pantry,2,carton,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Chicken thighs,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 4 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Gulf Coast & Deep South; Mid-Atlantic
Chili powder,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Chuck roast,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 2 regional sample pantries: Great Plains; Mountain West
Cilantro,Fresh,Fridge,1,bunch,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Coconut milk,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Cod,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 4 regional sample pantries: Florida & Caribbean-influenced; Mid-Atlantic; Northeast & New England; Pacific Northwest
Colby Jack cheese,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Great Plains
Collard greens,Canned,Pantry,2,can,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South; Mid-Atlantic
Corn,Canned,Pantry,2,can,,sample_pantry_master,Union of 4 regional sample pantries: Appalachia & Upper South; Great Lakes & Midwest; Great Plains; Mid-Atlantic
Corn,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Corn tortillas,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Cornbread,Shelf-stable,Pantry,1,package,,sample_pantry_master,Union of 5 regional sample pantries: Appalachia & Upper South; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West
Corned beef,Fresh Raw,Fridge,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Cranberries,Fresh,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Northeast & New England; Pacific Northwest
Cranberry beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Cream of chicken soup,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Great Plains
Cream of mushroom soup,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Cumin,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Diced tomatoes,Canned,Pantry,2,can,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Dill,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 3 regional sample pantries: Great Lakes & Midwest; Northeast & New England; Pacific Northwest
Egg noodles,Dry,Pantry,2,box,,sample_pantry_master,Union of 3 regional sample pantries: Great Lakes & Midwest; Great Plains; Mid-Atlantic
Eggplant,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Southern California
Eggs,Refrigerated,Fridge,12,egg,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Flank steak,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Fresh thyme,Fresh,Fridge,1,bunch,,sample_pantry_master,Union of 2 regional sample pantries: Northeast & New England; Pacific Northwest
Garlic,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Garlic powder,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Ginger,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Great Northern beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Mountain West
Greek yogurt,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Pacific Northwest; Southern California
Green beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 4 regional sample pantries: Appalachia & Upper South; Great Lakes & Midwest; Great Plains; Mid-Atlantic
Green bell pepper,Fresh,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Florida & Caribbean-influenced; Gulf Coast & Deep South
Ground beef,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Ham,Cooked,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Mid-Atlantic
Hash browns,Frozen,Freezer,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Heavy cream,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Hot sauce,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 5 regional sample pantries: Florida & Caribbean-influenced; Gulf Coast & Deep South; Mid-Atlantic; Southern California; Southwest
Italian sausage,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 1 regional sample pantries: Great Lakes & Midwest
Jalapenos,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Jasmine rice,Dry,Pantry,2,lb,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Kale,Fresh,Fridge,1,package,,sample_pantry_master,Union of 3 regional sample pantries: Mid-Atlantic; Mountain West; Pacific Northwest
Kidney beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Kielbasa,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 4 regional sample pantries: Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mountain West
Leeks,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Lima beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Gulf Coast & Deep South
Limes,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Macaroni,Dry,Pantry,2,box,,sample_pantry_master,Union of 1 regional sample pantries: Great Lakes & Midwest
Mango,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Florida & Caribbean-influenced; Southern California
Maple syrup,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 2 regional sample pantries: Northeast & New England; Pacific Northwest
Milk,Refrigerated,Fridge,1,carton,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Molasses,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South
Monterey Jack cheese,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Mushrooms,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Mustard,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 4 regional sample pantries: Great Lakes & Midwest; Great Plains; Mid-Atlantic; Northeast & New England
Mustard greens,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South
Navy beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 5 regional sample pantries: Appalachia & Upper South; Great Lakes & Midwest; Mid-Atlantic; Northeast & New England; Pacific Northwest
Okra,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Gulf Coast & Deep South
Olive oil,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 2 regional sample pantries: Pacific Northwest; Southern California
Onion powder,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Onions,Fresh,Fresh,3,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Oranges,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Florida & Caribbean-influenced; Southern California
Papaya,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Florida & Caribbean-influenced; Southern California
Paprika,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 2 regional sample pantries: Gulf Coast & Deep South; Mid-Atlantic
Parsnips,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Mountain West
Pasta,Dry,Pantry,2,box,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Peaches,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Mid-Atlantic; Mountain West
Pears,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Peas,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Pepper Jack cheese,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Southern California
Pineapple,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Pinto beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 4 regional sample pantries: Appalachia & Upper South; Mountain West; Southern California; Southwest
Poblanos,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Pork chops,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 2 regional sample pantries: Great Plains; Mountain West
Pork loin,Frozen Raw,Freezer,4,piece,,sample_pantry_master,Union of 3 regional sample pantries: Great Plains; Mid-Atlantic; Mountain West
Pork shoulder,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South; Southwest
Potatoes,Fresh,Fresh,3,piece,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Quinoa,Dry,Pantry,2,lb,,sample_pantry_master,Union of 2 regional sample pantries: Mountain West; Pacific Northwest
Red bell pepper,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Refried beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Rotel,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Sage,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 2 regional sample pantries: Appalachia & Upper South; Mountain West
Salmon,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 3 regional sample pantries: Great Lakes & Midwest; Northeast & New England; Pacific Northwest
Salt,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Sauerkraut,Refrigerated,Fridge,1,jar,,sample_pantry_master,Union of 1 regional sample pantries: Great Lakes & Midwest
Serranos,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Sesame oil,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Shrimp,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 4 regional sample pantries: Florida & Caribbean-influenced; Gulf Coast & Deep South; Mid-Atlantic; Southern California
Smoked paprika,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 3 regional sample pantries: Gulf Coast & Deep South; Mountain West; Southwest
Sour cream,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 2 regional sample pantries: Great Lakes & Midwest; Great Plains
Split peas,Dry,Pantry,1,lb,,sample_pantry_master,Union of 1 regional sample pantries: Northeast & New England
Sugar,Shelf-stable,Pantry,3,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Sweet potatoes,Fresh,Fresh,3,piece,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Gulf Coast & Deep South; Mountain West
Swiss cheese,Refrigerated,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Great Lakes & Midwest
Tilapia,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Gulf Coast & Deep South; Southern California
Tomatillos,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Southern California; Southwest
Tomato sauce,Canned,Pantry,2,can,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Tomatoes,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Florida & Caribbean-influenced; Mid-Atlantic
Turmeric,Shelf-stable,Pantry,1,jar,,sample_pantry_master,Union of 1 regional sample pantries: Florida & Caribbean-influenced
Turnips,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Appalachia & Upper South
Vegetable oil,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
White rice,Dry,Pantry,2,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Wild rice,Dry,Pantry,2,lb,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Worcestershire sauce,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 2 regional sample pantries: Great Plains; Mid-Atlantic
Zucchini,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 1 regional sample pantries: Southern California
